,Name,Season,Pos,TRB,AST,STL,BLK,PTS,TS%,WS/48,BPM,VORP,Wins,Seed,All-Star,All-NBA
6,Chris Bosh,2011-12,F,11.9,2.7,1.3,1.2,26.9,0.551,0.165,0,1,57.15151515,2,1,0
0,Luol Deng,2011-12,F,8.9,4,1.4,0.9,20.9,0.5,0.132,2.1,2.2,62.12121212,1,1,0
0,Roy Hibbert,2011-12,C,15.6,2.9,0.9,3.5,22.8,0.539,0.154,3,2.4,52.18181818,3,1,0
0,Andre Iguodala,2011-12,F,9.2,8.2,2.6,0.7,18.7,0.537,0.158,4.4,3.6,43.48484848,8,1,0
1,Kevin Durant,2010-11,F,9.1,3.6,1.5,1.3,36.8,0.589,0.189,2.9,3.7,55,4,1,1
6,LeBron James,2010-11,F,10.2,9.6,2.1,0.9,36.4,0.594,0.244,8.6,8.2,58,2,1,1
0,Blake Griffin,2010-11,F,16.4,5.2,1,0.7,30.7,0.549,0.152,3.2,4,32,13,1,0
0,Russell Westbrook,2010-11,G,6.9,12.2,2.8,0.5,32.6,0.538,0.159,5,5,55,4,1,1
0,LaMarcus Aldridge,2010-11,F,12.1,2.9,1.4,1.6,30.1,0.549,0.166,2.4,3.5,48,6,0,1
3,Chris Paul,2010-11,G,6.1,14.7,3.5,0.1,23.8,0.578,0.232,6.4,6.1,46,7,1,1
3,Pau Gasol,2010-11,C,14.6,4.8,0.8,2.3,26.8,0.589,0.232,5.3,5.6,57,2,1,1
13,Tim Duncan,2010-11,C,16.4,4.9,1.2,3.5,24.6,0.537,0.171,3.8,3.2,61,1,1,0
4,Dwight Howard,2010-11,C,19.7,1.9,1.9,3.3,32,0.616,0.235,4.8,5,52,4,1,1
0,Kevin Love,2010-11,F,21.2,3.5,0.9,0.5,28.1,0.593,0.21,3.7,3.8,17,15,1,0
13,Kobe Bryant,2010-11,G,8,7.4,1.9,0.2,39.6,0.548,0.178,3.8,4.1,57,2,1,1
5,Carmelo Anthony,2010-11,F,10.3,4,1.2,0.8,36,0.557,0.138,0.5,1.8,42,6,1,0
6,Dwyane Wade,2010-11,G,9.1,6.5,2.1,1.6,36.3,0.581,0.218,5.9,5.7,58,2,1,1
10,Dirk Nowitzki,2010-11,F,10.8,4,0.8,1,35.3,0.612,0.213,3.8,3.7,57,3,1,1
1,Rajon Rondo,2010-11,G,6.2,16,3.2,0.2,15.2,0.495,0.126,2,2.5,56,3,1,0
1,Derrick Rose,2010-11,G,5.8,10.9,1.5,0.9,35.6,0.55,0.208,5.9,6,62,1,1,1
5,Amar'e Stoudemire,2010-11,C,11.1,3.5,1.2,2.6,34.5,0.565,0.134,0.7,1.9,42,6,1,1
1,Al Horford,2010-11,C,14.3,5.3,1.2,1.6,23.4,0.587,0.179,4.4,4.4,44,5,1,1
1,Zach Randolph,2010-11,F,17.5,3.1,1.2,0.5,28.8,0.552,0.185,2.5,3.1,46,8,0,1
2,Deron Williams,2010-11,G,5.6,14.3,1.7,0.3,28.1,0.566,0.142,2.8,3,24,12,1,0
4,Joe Johnson,2010-11,G,6.1,7.1,1,0.1,27.6,0.517,0.08,-0.2,1.2,44,5,1,0
7,Yao Ming,2010-11,C,15.1,2.2,0,4.5,28.6,0.579,0.147,-2.8,0,43,9,1,0
8,Paul Pierce,2010-11,F,8.2,5,1.5,1,28.9,0.62,0.201,4.7,4.7,56,3,1,0
14,Kevin Garnett,2010-11,F,15.1,4.1,2.3,1.4,25.3,0.575,0.194,4,3.4,56,3,1,0
5,Chris Bosh,2010-11,F,12.1,2.7,1.1,0.9,27.2,0.569,0.177,0.4,1.7,58,2,1,0
9,Ray Allen,2010-11,G,5,4,1.4,0.3,24.3,0.615,0.166,3.6,4.1,56,3,1,0
2,Manu Ginobili,2010-11,G,6.3,8.4,2.6,0.6,29.9,0.581,0.195,5.3,4.5,61,1,1,1
0,Kevin Durant,2009-10,F,9.9,3.7,1.8,1.3,39.4,0.607,0.238,5.1,5.8,50,8,1,1
5,LeBron James,2009-10,F,9.8,11.5,2.2,1.4,40,0.604,0.299,12.5,10.9,61,1,1,1
2,Chris Paul,2009-10,G,5.8,14.5,2.9,0.2,25.5,0.584,0.204,4.9,3,37,11,1,0
2,Pau Gasol,2009-10,C,15.8,4.7,0.8,2.4,25.6,0.593,0.22,5.4,4.5,57,1,1,1
12,Tim Duncan,2009-10,C,16.9,5.3,1,2.5,30,0.56,0.215,5.6,4.7,50,7,1,1
3,Dwight Howard,2009-10,C,19.8,2.6,1.4,4.2,27.6,0.63,0.223,5.5,5.4,59,2,1,1
12,Kobe Bryant,2009-10,G,7.1,6.7,2.1,0.4,35.9,0.545,0.16,3.6,4,57,1,1,1
4,Carmelo Anthony,2009-10,F,8.7,4.3,1.7,0.6,37.4,0.548,0.145,1.4,2.3,53,4,1,1
0,David Lee,2009-10,C,16.1,5,1.4,0.7,27.7,0.584,0.163,2.9,3.7,29,11,1,0
5,Dwyane Wade,2009-10,G,7.2,9.6,2.7,1.6,39.2,0.562,0.224,9.4,8,47,5,1,1
9,Dirk Nowitzki,2009-10,F,10.6,3.7,1.2,1.3,34.6,0.578,0.194,2.6,3.5,55,2,1,1
0,Rajon Rondo,2009-10,G,6.4,14,3.3,0.2,19.6,0.54,0.156,3.5,4.1,50,4,1,0
0,Derrick Rose,2009-10,G,5.3,8.4,1,0.5,29.1,0.532,0.1,0.5,1.8,41,8,1,0
4,Amar'e Stoudemire,2009-10,F,13,1.5,0.9,1.5,33.6,0.615,0.181,0.3,1.6,54,3,1,1
0,Al Horford,2009-10,C,15,3.5,1.1,1.7,21.5,0.594,0.183,3.3,3.8,53,3,1,0
0,Zach Randolph,2009-10,F,16,2.5,1.3,0.6,28.3,0.546,0.153,0.9,2.2,40,10,1,0
6,Steve Nash,2009-10,G,5.1,16.9,0.8,0.2,25.2,0.615,0.178,1.8,2.6,54,3,1,1
1,Deron Williams,2009-10,G,5.5,14.6,1.8,0.3,25.9,0.574,0.177,3.3,3.7,53,5,1,1
0,Andrew Bogut,2009-10,C,16.5,3,0.9,4.1,25.7,0.54,0.161,3.4,3,46,6,0,1
3,Joe Johnson,2009-10,G,6.5,6.8,1.5,0.1,29.9,0.538,0.14,2.2,3,53,3,1,1
2,Brandon Roy,2009-10,G,6.4,6.9,1.4,0.4,31.6,0.568,0.18,4.1,3.7,50,6,1,1
7,Paul Pierce,2009-10,F,6.7,4.7,1.8,0.7,28.2,0.613,0.165,2.7,2.9,50,4,1,0
4,Chauncey Billups,2009-10,G,4.6,8.3,1.7,0.2,29,0.601,0.182,3.1,3.2,53,4,1,0
13,Kevin Garnett,2009-10,F,12.9,4.7,1.7,1.4,25.2,0.569,0.171,2.6,2.4,50,4,1,0
4,Chris Bosh,2009-10,C,15.5,3.4,0.9,1.4,34.3,0.592,0.182,2.3,2.7,40,9,1,0
11,Allen Iverson,2009-10,G,4.8,6.8,1.1,0.1,23.3,0.515,0.037,-4.2,-0.5,27,13,1,0
10,Jason Kidd,2009-10,G,8,13,2.6,0.6,14.8,0.577,0.148,4.3,4.6,55,2,1,0
0,Chris Kaman,2009-10,C,14,2.4,0.7,1.9,28,0.527,0.044,-3.2,-0.8,29,12,1,0
0,Gerald Wallace,2009-10,F,13,2.7,2,1.4,23.6,0.586,0.177,3.5,4.3,44,7,1,0
4,LeBron James,2008-09,F,10.9,10.4,2.4,1.6,40.8,0.591,0.318,13,11.6,66,1,1,1
1,Chris Paul,2008-09,G,7.9,15.7,3.9,0.2,32.4,0.599,0.292,11.2,10,49,7,1,1
1,Pau Gasol,2008-09,C,13.2,4.8,0.9,1.4,25.9,0.617,0.223,5,5.3,65,1,1,1
11,Tim Duncan,2008-09,C,17.2,5.7,0.8,2.7,31.2,0.549,0.191,4.6,4.2,54,3,1,1
2,Dwight Howard,2008-09,C,20.1,2.1,1.4,4.3,29.9,0.6,0.234,4.4,4.6,59,3,1,1
2,Tony Parker,2008-09,G,4.9,11,1.5,0.1,35,0.556,0.168,3.1,3.2,54,3,1,1
11,Kobe Bryant,2008-09,G,7.4,6.9,2.1,0.6,37.8,0.561,0.206,4.5,4.9,65,1,1,1
3,Carmelo Anthony,2008-09,F,10.1,5,1.7,0.5,33.6,0.532,0.105,0.3,1.3,54,2,0,1
4,Dwyane Wade,2008-09,G,7,10.3,3,1.9,41.8,0.574,0.232,10.7,9.7,43,5,1,1
8,Dirk Nowitzki,2008-09,F,11.7,3.4,1,1.1,36,0.564,0.171,1.2,2.4,50,6,1,1
3,Amar'e Stoudemire,2008-09,F,11,2.7,1.3,1.5,29.1,0.617,0.149,1,1.5,46,9,1,0
2,Joe Johnson,2008-09,G,5.9,7.8,1.4,0.3,28.9,0.534,0.116,1.7,3,47,4,1,0
1,Brandon Roy,2008-09,G,7.1,7.6,1.7,0.4,33.7,0.573,0.223,5.8,5.7,54,4,1,1
6,Yao Ming,2008-09,C,15.6,2.8,0.6,3.1,31.1,0.618,0.196,3,3.3,53,5,1,1
6,Paul Pierce,2008-09,F,8,5.1,1.4,0.5,29,0.582,0.164,2.5,3.4,62,2,1,1
15,Shaquille O'Neal,2008-09,C,14.1,2.8,1.1,2.4,29.6,0.623,0.166,2,2.3,46,9,1,1
3,Chauncey Billups,2008-09,G,4.4,9.3,1.7,0.3,25.6,0.592,0.174,2.5,3.2,54,2,1,1
12,Kevin Garnett,2008-09,F,14.5,4.3,1.9,2,26.9,0.563,0.193,4,2.7,62,2,1,0
3,Chris Bosh,2008-09,C,13.7,3.4,1.2,1.4,31.1,0.569,0.159,2.4,3.3,33,13,1,0
10,Allen Iverson,2008-09,G,4.6,7.4,2.3,0.2,26.2,0.504,0.066,-0.7,0.7,39,8,1,0
8,Ray Allen,2008-09,G,5.1,4,1.3,0.2,26.5,0.624,0.186,3.9,4.3,62,2,1,0
1,Rashard Lewis,2008-09,F,8.2,3.7,1.5,0.9,25.5,0.58,0.16,4.2,4.5,59,3,1,0
1,David West,2008-09,F,11.8,3.2,0.9,1.2,29.2,0.54,0.125,-0.5,1.2,49,7,1,0
0,Danny Granger,2008-09,F,7,3.8,1.4,2,35.5,0.584,0.158,2.9,3,36,9,1,0
0,Devin Harris,2008-09,G,4.9,10.2,2.4,0.3,31.5,0.563,0.145,2.5,2.8,34,11,1,0
0,Jameer Nelson,2008-09,G,5.8,9,2,0.1,27.9,0.612,0.22,5.1,2.4,59,3,1,0
3,LeBron James,2007-08,F,10.4,9.5,2.4,1.4,39.6,0.568,0.242,11.2,10.1,45,4,1,1
0,Chris Paul,2007-08,G,5.7,16.4,3.9,0.1,29.9,0.576,0.284,9.2,8.5,56,2,1,1
10,Tim Duncan,2007-08,C,18,4.4,1.1,3.1,30.8,0.546,0.201,4.7,4.5,56,3,1,1
1,Dwight Howard,2007-08,C,19.3,1.8,1.2,2.9,28.2,0.619,0.2,2.2,3.3,52,3,1,1
10,Kobe Bryant,2007-08,G,8.1,6.9,2.4,0.6,36.5,0.576,0.208,5.4,6,57,1,1,1
2,Carmelo Anthony,2007-08,F,9.8,4.4,1.7,0.7,33.9,0.568,0.14,1.6,2.6,50,8,1,0
3,Dwyane Wade,2007-08,G,5.8,9.6,2.4,1,34.1,0.549,0.082,3,2.5,15,15,1,0
7,Dirk Nowitzki,2007-08,F,12.7,5.1,1,1.4,34.9,0.585,0.223,5.2,5,51,7,1,1
2,Amar'e Stoudemire,2007-08,C,13.3,2.2,1.2,3,36.9,0.656,0.262,3.9,4,55,6,1,1
5,Steve Nash,2007-08,G,5,16,0.9,0.1,24.5,0.641,0.181,1.6,2.6,55,6,1,1
0,Deron Williams,2007-08,G,4.1,14.5,1.5,0.4,26,0.595,0.177,2.1,3.2,54,4,0,1
1,Joe Johnson,2007-08,G,5.8,7.5,1.3,0.3,28.1,0.535,0.1,1.1,2.7,37,8,1,0
0,Brandon Roy,2007-08,G,6.8,8.4,1.5,0.3,27.7,0.531,0.138,3.5,3.9,41,10,1,0
5,Yao Ming,2007-08,C,15.4,3.4,0.6,2.9,31.4,0.587,0.196,2.9,2.6,55,5,1,1
5,Paul Pierce,2007-08,F,7.5,6.7,1.9,0.7,28.8,0.599,0.207,4.7,4.9,66,1,1,1
2,Chauncey Billups,2007-08,G,4.6,11.5,2.2,0.4,28.9,0.619,0.257,6.1,5.2,59,2,1,0
11,Kevin Garnett,2007-08,F,14.9,5.5,2.3,2,30.3,0.588,0.265,7.4,5.5,66,1,1,1
1,Carlos Boozer,2007-08,F,15.4,4.2,1.8,0.7,31.1,0.581,0.173,3.2,3.7,54,4,1,1
7,Tracy McGrady,2007-08,G,7.4,8.4,1.5,0.7,31.1,0.487,0.115,2.4,2.7,55,5,0,1
2,Chris Bosh,2007-08,C,12.8,3.8,1.4,1.5,32.8,0.588,0.2,3.7,3.5,41,6,1,0
9,Allen Iverson,2007-08,G,3.4,8.2,2.2,0.2,30.4,0.567,0.163,1.6,3.1,50,8,1,0
7,Ray Allen,2007-08,G,5.4,4.5,1.3,0.3,25.6,0.584,0.177,3.1,3.4,66,1,1,0
9,Jason Kidd,2007-08,G,10.9,14.6,2.5,0.5,15.7,0.499,0.097,2.8,3.5,51,7,1,0
3,Rasheed Wallace,2007-08,C,12,3.2,2.1,3,22.9,0.523,0.155,4,3.6,59,2,1,0
2,Richard Hamilton,2007-08,G,5.3,6.8,1.7,0.2,28.2,0.552,0.152,2.5,2.8,59,2,1,0
1,Caron Butler,2007-08,F,9,6.6,3,0.5,27.4,0.558,0.15,4.7,3.9,43,5,1,0
1,Antawn Jamison,2007-08,F,14.1,2.1,1.9,0.6,29.6,0.525,0.144,0.3,1.8,43,5,1,0
0,David West,2007-08,F,12.6,3.3,1.2,1.8,29.1,0.535,0.14,1.1,2.3,56,2,1,0
1,Manu Ginobili,2007-08,G,8.3,7.8,2.6,0.8,33.9,0.612,0.232,8.1,5.9,56,3,0,1
2,LeBron James,2006-07,F,8.7,7.8,2.1,0.9,35.3,0.552,0.206,7.4,7.6,50,2,1,1
9,Tim Duncan,2006-07,C,16.6,5.4,1.3,3.7,31.4,0.579,0.23,7.1,6.3,58,3,1,1
0,Dwight Howard,2006-07,C,17.8,2.8,1.2,2.8,25.5,0.619,0.154,3.6,4.3,40,8,1,1
1,Tony Parker,2006-07,G,5.3,9,1.8,0.1,30.6,0.572,0.185,2.7,3,58,3,1,0
9,Kobe Bryant,2006-07,G,7.2,6.7,1.8,0.6,39.7,0.58,0.199,4.7,5.3,42,7,1,1
1,Carmelo Anthony,2006-07,F,7.7,4.9,1.5,0.5,37.3,0.552,0.14,2,2.5,45,6,1,1
2,Dwyane Wade,2006-07,G,6.6,10.6,3,1.7,38.6,0.583,0.219,8.4,5.1,44,4,1,1
6,Dirk Nowitzki,2006-07,F,13.2,5,1,1.2,36.4,0.605,0.278,6.7,6.2,67,1,1,1
1,Amar'e Stoudemire,2006-07,C,14.7,1.6,1.5,2.1,31.2,0.637,0.201,1.6,2.4,61,2,1,1
4,Steve Nash,2006-07,G,5,16.5,1.1,0.1,26.4,0.654,0.225,3.8,3.9,61,2,1,1
0,Joe Johnson,2006-07,G,5.4,5.6,1.4,0.2,32.2,0.558,0.105,1.6,2.1,30,13,1,0
4,Yao Ming,2006-07,C,14.7,3.1,0.6,3.1,39.2,0.601,0.22,2.3,1.8,52,5,1,1
14,Shaquille O'Neal,2006-07,C,14,3.7,0.4,2.6,32.4,0.567,0.119,0.9,0.8,44,4,1,0
1,Chauncey Billups,2006-07,G,5.1,10.9,1.8,0.4,25.9,0.591,0.216,4.4,4.1,53,1,1,1
10,Kevin Garnett,2006-07,F,17.2,5.5,1.6,2.2,30,0.546,0.171,5,5.2,32,13,1,1
0,Carlos Boozer,2006-07,F,17.8,4.5,1.4,0.4,31.7,0.588,0.185,4.6,4.3,51,4,1,0
6,Tracy McGrady,2006-07,G,7.9,9.5,1.9,0.8,36.4,0.515,0.163,6.2,5.2,52,5,1,1
1,Chris Bosh,2006-07,C,14.5,3.4,0.8,1.8,30.5,0.577,0.174,2.6,3.1,47,3,1,1
2,Gilbert Arenas,2006-07,G,5.9,7.7,2.4,0.2,36.5,0.565,0.177,5,5.2,41,7,1,1
3,Shawn Marion,2006-07,F,13.1,2.2,2.6,2,23.4,0.594,0.191,5.5,5.7,61,2,1,0
8,Allen Iverson,2006-07,G,3.5,8.5,2.2,0.2,31,0.54,0.108,0.8,1.9,45,6,1,0
6,Ray Allen,2006-07,G,5.8,5.4,1.9,0.3,34.3,0.564,0.136,3.4,3,31,14,1,0
8,Jason Kidd,2006-07,G,11.7,13.2,2.3,0.4,18.6,0.516,0.152,5,5.2,41,6,1,0
5,Jermaine O'Neal,2006-07,C,14,3.5,1.1,3.8,28.3,0.5,0.091,0.4,1.5,35,9,1,0
7,Vince Carter,2006-07,G,8.3,6.6,1.4,0.5,34.8,0.559,0.161,4.1,4.8,41,6,1,0
1,Richard Hamilton,2006-07,G,5.6,5.7,1.2,0.3,29.6,0.551,0.141,1.1,2.2,53,1,1,0
0,Caron Butler,2006-07,F,9.6,4.8,2.8,0.4,24.8,0.537,0.103,1.9,2.5,41,7,1,0
0,Josh Howard,2006-07,F,10.4,2.8,1.8,1.2,28.8,0.548,0.173,2.8,3,67,1,1,0
0,Mehmet Okur,2006-07,C,11.4,3.1,0.7,0.7,27.6,0.571,0.158,2,2.7,51,4,1,0
1,LeBron James,2005-06,F,8.8,8.3,2,1,39.4,0.568,0.232,9.3,9.5,50,4,1,1
0,Pau Gasol,2005-06,F,12.7,6.6,0.8,2.7,28.9,0.555,0.184,5.1,5.6,49,5,1,0
8,Tim Duncan,2005-06,F,17.2,4.9,1.4,3.2,28.9,0.523,0.187,4.6,4.6,63,1,1,1
0,Tony Parker,2005-06,G,5.2,9.2,1.7,0.1,30.2,0.584,0.169,2.6,3.1,63,1,1,0
8,Kobe Bryant,2005-06,G,6.8,5.8,2.4,0.5,45.6,0.559,0.224,5.8,6.5,45,7,1,1
0,Carmelo Anthony,2005-06,F,6.8,3.8,1.5,0.7,36.9,0.563,0.153,1.5,2.6,44,3,0,1
1,Dwyane Wade,2005-06,G,7.8,9.1,2.6,1.1,37,0.577,0.239,7.5,7,52,2,1,1
5,Dirk Nowitzki,2005-06,F,12.9,4,1,1.5,38.1,0.589,0.275,5.7,6,60,4,1,1
3,Steve Nash,2005-06,G,6,14.8,1.1,0.2,26.7,0.632,0.212,3.7,4,54,2,1,1
3,Yao Ming,2005-06,C,16.3,2.4,0.8,2.6,35.6,0.592,0.211,2.4,2.2,34,12,1,1
4,Paul Pierce,2005-06,F,8.9,6.3,1.8,0.6,35.7,0.582,0.178,4.3,4.9,33,11,1,0
13,Shaquille O'Neal,2005-06,C,15.7,3.3,0.7,3,34.3,0.586,0.164,2.6,2.1,52,2,1,1
0,Chauncey Billups,2005-06,G,4.8,13.2,1.3,0.2,28.3,0.602,0.254,4.7,4.9,64,1,1,1
9,Kevin Garnett,2005-06,F,17.7,5.6,1.9,2,30.3,0.589,0.242,7.9,7.4,33,14,1,0
5,Tracy McGrady,2005-06,F,9.6,7,1.8,1.3,35.8,0.494,0.112,4.8,3,34,12,1,0
0,Chris Bosh,2005-06,C,12.4,3.5,1,1.5,30.1,0.585,0.17,2.5,3.1,27,12,1,0
1,Gilbert Arenas,2005-06,G,4.3,7.4,2.5,0.4,36.1,0.581,0.193,5.5,6.4,42,5,1,1
4,Ben Wallace,2005-06,C,17.7,3,2.8,3.5,11.4,0.501,0.168,5.8,5.7,64,1,1,1
1,Elton Brand,2005-06,F,13.3,3.5,1.4,3.4,33,0.58,0.229,6.3,6.5,47,6,1,1
2,Shawn Marion,2005-06,F,14.7,2.2,2.5,2.1,27.2,0.591,0.214,5.3,5.9,54,2,1,1
7,Allen Iverson,2005-06,G,3.9,8.9,2.3,0.2,39.7,0.543,0.165,3.5,4.3,38,9,1,1
5,Ray Allen,2005-06,G,5.8,5,1.8,0.3,33.9,0.59,0.15,3.6,4.2,35,11,1,0
4,Jermaine O'Neal,2005-06,F,14.1,4,0.8,3.5,30.4,0.53,0.131,1.9,1.8,41,6,1,0
6,Vince Carter,2005-06,G,8.5,6.2,1.7,1,35.1,0.536,0.153,4.4,4.7,49,3,1,0
2,Rasheed Wallace,2005-06,F,10.9,3.6,1.6,2.6,24.1,0.527,0.154,3.5,3.9,64,1,1,0
0,Richard Hamilton,2005-06,G,5,5.4,1,0.3,31.5,0.553,0.13,0.2,1.5,64,1,1,0
0,LeBron James,2004-05,F,9.3,9.1,2.8,0.8,34.3,0.554,0.203,8.3,8.8,42,9,1,1
7,Tim Duncan,2004-05,F,17.9,4.4,1.1,4.3,32.9,0.54,0.245,6.4,4.7,59,2,1,1
7,Kobe Bryant,2004-05,G,7.7,7.8,1.7,1,35.7,0.563,0.145,4.6,4.5,34,11,1,1
0,Dwyane Wade,2004-05,G,7.1,9.2,2.2,1.5,33,0.561,0.177,4.4,4.8,59,1,1,1
4,Dirk Nowitzki,2004-05,F,13,4.1,1.7,2,34.8,0.578,0.248,5.7,5.9,58,4,1,1
0,Amar'e Stoudemire,2004-05,C,12.4,2.3,1.3,2.3,36,0.617,0.243,3.4,3.9,62,1,1,1
2,Steve Nash,2004-05,G,4.8,16.7,1.4,0.1,22.7,0.606,0.203,1.7,2.4,62,1,1,1
2,Yao Ming,2004-05,C,14.8,1.3,0.8,3.5,32.4,0.614,0.21,1.6,2.2,51,5,1,0
3,Paul Pierce,2004-05,F,9.4,6,2.3,0.7,30.8,0.583,0.182,4.3,4.7,45,3,1,0
12,Shaquille O'Neal,2004-05,C,16.1,4.2,0.8,3.6,35.4,0.583,0.211,5.6,4.7,59,1,1,1
8,Kevin Garnett,2004-05,F,19.1,8,2.1,1.9,31.4,0.567,0.248,9.7,9.3,44,9,1,1
4,Tracy McGrady,2004-05,F,8.2,7.6,2.3,0.9,34,0.526,0.18,6.8,7,51,5,1,1
0,Gilbert Arenas,2004-05,G,5.9,6.5,2.2,0.4,32,0.565,0.169,4,4.9,45,5,1,1
3,Ben Wallace,2004-05,C,18.6,2.5,2.2,3.6,14.9,0.459,0.153,3.8,3.9,54,2,1,1
1,Shawn Marion,2004-05,F,14.6,2.4,2.6,1.9,25,0.556,0.191,4.9,5.5,62,1,1,1
6,Allen Iverson,2004-05,G,4.8,9.5,2.9,0.1,36.7,0.532,0.136,4.3,5,43,7,1,1
4,Ray Allen,2004-05,G,6.2,5.2,1.5,0.1,33.3,0.555,0.168,3.7,4.4,52,3,1,1
3,Jermaine O'Neal,2004-05,F,14,3,0.9,3.2,38.4,0.52,0.118,-0.6,0.5,44,6,1,0
5,Vince Carter,2004-05,G,7.6,6.2,2.1,0.9,35.6,0.541,0.159,5.3,5.2,42,8,1,0
